scenario_id;population_state;energy_transition_state;green_state;population_multiplier;heatpump_adoption;ev_adoption;electricity_demand_gwh;heating_demand_gwh;ev_demand_gwh;total_demand_gwh;rooftop_supply_gwh;parking_supply_gwh;wind_supply_gwh;green_space_supply_gwh;total_supply_gwh;energy_balance_gwh;renewable_coverage_percent;rooftop_use_percent;parking_use_percent;wind_use_percent;green_space_use_percent;living_environment_score;living_environment_class;resilience_class;recommended_intervention;health_environment_class;x_population;y_energy;z_green
S11;Stable;Slow;Moderate;1;0,3;0,25;6,28;1,95;0,9075;9,1375;6,37;2,7675;0;0;9,1375;0;100;100;98,83928571;0;0;0,988392857;Low Impact;High resilience;Use rooftops and parking solar canopies;Low trade-off: parking canopies add shade and support EV charging;1;0;1
S12;Stable;Slow;Extensive;1;0,3;0,25;6,28;1,95;0,9075;9,1375;6,37;2,7675;0;0;9,1375;0;100;100;98,83928571;0;0;0,988392857;Low Impact;High resilience;Use rooftops and parking solar canopies;Low trade-off: parking canopies add shade and support EV charging;1;0;2
S13;Stable;Moderate;Minimal;1;0,6;0,5;6,28;3,9;1,815;11,995;6,37;2,8;2,825;0;11,995;0;100;100;100;62,2246696;0;2,244493392;Moderate Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;1;1;0
S14;Stable;Moderate;Moderate;1;0,6;0,5;6,28;3,9;1,815;11,995;6,37;2,8;2,825;0;11,995;0;100;100;100;62,2246696;0;2,244493392;Moderate Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;1;1;1
S15;Stable;Moderate;Extensive;1;0,6;0,5;6,28;3,9;1,815;11,995;6,37;2,8;2,825;0;11,995;0;100;100;100;62,2246696;0;2,244493392;Moderate Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;1;1;2
S16;Stable;Rapid;Minimal;1;0,9;0,75;6,28;5,85;2,7225;14,8525;6,37;2,8;4,54;1,1425;14,8525;0;100;100;100;100;59,19689119;5,95984456;High Impact;High resilience;"Use rooftops; parking canopies; wind turbines; and green-space solar as last resort";High trade-off: green-space solar affects recreation and urban ecology;1;2;0
S17;Stable;Rapid;Moderate;1;0,9;0,75;6,28;5,85;2,7225;14,8525;6,37;2,8;4,54;1,1425;14,8525;0;100;100;100;100;59,19689119;5,95984456;High Impact;High resilience;"Use rooftops; parking canopies; wind turbines; and green-space solar as last resort";High trade-off: green-space solar affects recreation and urban ecology;1;2;1
S18;Stable;Rapid;Extensive;1;0,9;0,75;6,28;5,85;2,7225;14,8525;6,37;2,8;4,54;1,1425;14,8525;0;100;100;100;100;59,19689119;5,95984456;High Impact;High resilience;"Use rooftops; parking canopies; wind turbines; and green-space solar as last resort";High trade-off: green-space solar affects recreation and urban ecology;1;2;2
S19;Increase;Slow;Minimal;1,15;0,3;0,25;7,222;2,2425;0,9075;10,372;6,37;2,8;1,202;0;10,372;0;100;100;100;26,47577093;0;1,529515419;Low Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;2;0;0
S20;Increase;Slow;Moderate;1,15;0,3;0,25;7,222;2,2425;0,9075;10,372;6,37;2,8;1,202;0;10,372;0;100;100;100;26,47577093;0;1,529515419;Low Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;2;0;1
S21;Increase;Slow;Extensive;1,15;0,3;0,25;7,222;2,2425;0,9075;10,372;6,37;2,8;1,202;0;10,372;0;100;100;100;26,47577093;0;1,529515419;Low Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;2;0;2
S22;Increase;Moderate;Minimal;1,15;0,6;0,5;7,222;4,485;1,815;13,522;6,37;2,8;4,352;0;13,522;0;100;100;100;95,85903084;0;2,917180617;Moderate Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;2;1;0
S23;Increase;Moderate;Moderate;1,15;0,6;0,5;7,222;4,485;1,815;13,522;6,37;2,8;4,352;0;13,522;0;100;100;100;95,85903084;0;2,917180617;Moderate Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;2;1;1
S24;Increase;Moderate;Extensive;1,15;0,6;0,5;7,222;4,485;1,815;13,522;6,37;2,8;4,352;0;13,522;0;100;100;100;95,85903084;0;2,917180617;Moderate Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;2;1;2
S25;Increase;Rapid;Minimal;1,15;0,9;0,75;7,222;6,7275;2,7225;16,672;6,37;2,8;4,54;1,93;15,64;-1,032;93,80998081;100;100;100;100;8;High Impact;High resilience;"Use rooftops; parking canopies; wind turbines; and green-space solar as last resort";High trade-off: green-space solar affects recreation and urban ecology;2;2;0
S26;Increase;Rapid;Moderate;1,15;0,9;0,75;7,222;6,7275;2,7225;16,672;6,37;2,8;4,54;1,93;15,64;-1,032;93,80998081;100;100;100;100;8;High Impact;High resilience;"Use rooftops; parking canopies; wind turbines; and green-space solar as last resort";High trade-off: green-space solar affects recreation and urban ecology;2;2;1
S27;Increase;Rapid;Extensive;1,15;0,9;0,75;7,222;6,7275;2,7225;16,672;6,37;2,8;4,54;1,93;15,64;-1,032;93,80998081;100;100;100;100;8;High Impact;High resilience;"Use rooftops; parking canopies; wind turbines; and green-space solar as last resort";High trade-off: green-space solar affects recreation and urban ecology;2;2;2
